bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_clean,authors_clean,publisher_clean,combined_text
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,harry potter and the half blood prince harry potter 6,j k rowling mary grandpré,scholastic inc,harry potter and the half blood prince harry potter 6 j k rowling mary grandpré scholastic inc
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,harry potter and the order of the phoenix harry potter 5,j k rowling mary grandpré,scholastic inc,harry potter and the order of the phoenix harry potter 5 j k rowling mary grandpré scholastic inc
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,11/1/2003,Scholastic,harry potter and the chamber of secrets harry potter 2,j k rowling,scholastic,harry potter and the chamber of secrets harry potter 2 j k rowling scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,harry potter and the prisoner of azkaban harry potter 3,j k rowling mary grandpré,scholastic inc,harry potter and the prisoner of azkaban harry potter 3 j k rowling mary grandpré scholastic inc
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic,harry potter boxed set books 1 5 harry potter 1 5,j k rowling mary grandpré,scholastic,harry potter boxed set books 1 5 harry potter 1 5 j k rowling mary grandpré scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152,19,1,4/26/2005,Nimble Books,unauthorized harry potter book seven news half blood prince analysis and speculation,w frederick zimmerman,nimble books,unauthorized harry potter book seven news half blood prince analysis and speculation w frederick zimmerman nimble books
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic,harry potter collection harry potter 1 6,j k rowling,scholastic,harry potter collection harry potter 1 6 j k rowling scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books,the ultimate hitchhiker s guide five complete novels and one story hitchhiker s guide to the galaxy 1 5,douglas adams,gramercy books,the ultimate hitchhiker s guide five complete novels and one story hitchhiker s guide to the galaxy 1 5 douglas adams gramercy books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5,douglas adams,del rey books,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5 douglas adams del rey books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,8/3/2004,Crown,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,douglas adams,crown,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 douglas adams crown
